date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:37:49	181296/181296	---MCZ	200	added ('OK')	text/html	etag:W/f6684963989256a85d1f810908bd2145	https://mac-cafe.vn/	D:/projects/Demo/mac_cafe/mac-cafe.vn/index.html	(from )
11:37:50	222/222	---MCZ	200	added ('OK')	text/plain	date:Thu,%2029%20Nov%202018%2004:37:46%20GMT	https://mac-cafe.vn/robots.txt		(from )
11:37:51	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2029%20Nov%202018%2004:37:49%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/projects/Demo/mac_cafe/www.googletagmanager.com/gtm.05445.delayed	(from https://mac-cafe.vn/)
11:37:52	4789/4789	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2029%20Nov%202018%2004:19:17%20GMT	http://stats.bizweb.vn/delivery/183542.js?lang=vi	D:/projects/Demo/mac_cafe/stats.bizweb.vn/delivery/183542e034.js	(from https://mac-cafe.vn/)
11:37:55	51924/51924	---M--	200	added ('OK')	application/x-javascript	date:Thu,%2029%20Nov%202018%2004:37:51%20GMT	https://connect.facebook.net/en_US/fbevents.js	D:/projects/Demo/mac_cafe/connect.facebook.net/en_US/fbevents.js	(from https://mac-cafe.vn/)
11:37:56	73344/73344	---MCZ	200	added ('OK')	text/html	etag:W/6b33593e053d91f4e1d0285a9c655cb4	https://mac-cafe.vn/cart	D:/projects/Demo/mac_cafe/mac-cafe.vn/cart.html	(from https://mac-cafe.vn/)
11:37:57	97244/97244	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd497c-17bdc%22	http://cdnjs.cloudflare.com/ajax/libs/jquery/1.12.2/jquery.min.js	D:/projects/Demo/mac_cafe/cdnjs.cloudflare.com/ajax/libs/jquery/1.12.2/jquery.min.js	(from https://mac-cafe.vn/)
11:38:01	122/122	---M--	302	error ('Found')	text/html	date:Thu,%2029%20Nov%202018%2004:37:54%20GMT	https://mac-cafe.vn/checkout	D:/projects/Demo/mac_cafe/mac-cafe.vn/checkout.6.delayed	(from https://mac-cafe.vn/)
11:38:02	604/604	---M--	200	added ('OK')	image/png	date:Wed,%2007%20Jun%202017%2007:30:58%20GMT	http://bizweb.dktcdn.net/100/183/542/themes/548520/assets/cart_details.png?1542697260528	D:/projects/Demo/mac_cafe/bizweb.dktcdn.net/100/183/542/themes/548520/assets/cart_detailsd5a5.png	(from https://mac-cafe.vn/)
11:38:02	23119/23119	---MCZ	200	added ('OK')	text/css	date:Fri,%2002%20Mar%202018%2011:59:26%20GMT	http://bizweb.dktcdn.net/100/183/542/themes/548520/assets/popup_cart_desktop.css?1542697260528	D:/projects/Demo/mac_cafe/bizweb.dktcdn.net/100/183/542/themes/548520/assets/popup_cart_desktopd5a5.css	(from https://mac-cafe.vn/)
